Spotify URI,Song,Released,Days Since,Streams,Listeners,Saves,Save Ratio %,Radio Streams,Radio %,Playlist Adds,Source,Collected At
spotify:track:37UYKvUJARQSIBMdpqwG9S,iloveitiloveitiloveit - Deep House Version,"Mar 20, 2026",9,44502,34283,850,2.48,30002,—,340,S4A Internal API + Page,2026-03-29T08:00:22.335071
spotify:track:31GJloKxurkxn8ZryE5SKO,New Rules - Deep House Version,"Feb 13, 2026",44,39621,23655,274,1.16,2444,—,421,S4A Internal API + Page,2026-03-29T08:00:30.567268
spotify:track:7rrlOWVCNmneAE1VN6Ag2o,Just Keep Watching - Deep House Version,"Mar 20, 2026",9,26386,19729,235,1.19,10330,—,186,S4A Internal API + Page,2026-03-29T08:00:38.696026
spotify:track:1uTm136ZnTalIShvFCdryl,Say It Right,"Jan 19, 2026",69,123319,64964,1502,2.31,30460,—,922,S4A Internal API + Page,2026-03-29T08:00:47.336231
spotify:track:6u251guTNWjy4sb9aRHYFr,Opalite - Chill House Version,"Jan 24, 2026",64,25409,15363,128,0.83,4793,—,402,S4A Internal API + Page,2026-03-29T08:00:55.088686
spotify:track:1Iq4xThlV42yxfvcmYkrZb,California Dreamin' - Chill House Version,"Feb 10, 2026",47,19744,12375,86,0.69,1700,—,243,S4A Internal API + Page,2026-03-29T08:01:03.632137
spotify:track:0WcwR4CHh5vsqbj9kkjib9,"Relax, Take It Easy - Deep House Version","Mar 13, 2026",16,53879,38467,627,1.63,21465,—,409,S4A Internal API + Page,2026-03-29T08:01:10.869121
spotify:track:3A7gVlh2tqAlEy8AyFrnpU,Right Now (Na Na Na) - Deep House Version,"Feb 13, 2026",44,37048,22011,452,2.05,5094,—,357,S4A Internal API + Page,2026-03-29T08:01:18.671506
spotify:track:1ZUhwL7TJ1YBM5CGFfNCbb,Burn - Deep House Version,"Mar 13, 2026",16,42175,29885,175,0.59,12619,—,282,S4A Internal API + Page,2026-03-29T08:01:26.420837
spotify:track:4NV1M3BvmPVRXF0CXP9vzf,Save Your Tears - Deep House Version,"Mar 6, 2026",23,37768,24147,256,1.06,6104,—,282,S4A Internal API + Page,2026-03-29T08:01:33.958432
spotify:track:6D87Bx8VahuZ4ztLvjxDMZ,Love Me Like You Do - Chill House Version,"Feb 10, 2026",47,20654,12774,120,0.94,1334,—,247,S4A Internal API + Page,2026-03-29T08:01:41.615021
spotify:track:1n0Urhe798OA5CJUHMMUEC,BIRDS OF A FEATHER - Chill House Version,"Jan 31, 2026",57,39503,21838,463,2.12,4247,—,431,S4A Internal API + Page,2026-03-29T08:01:49.553056
spotify:track:4US4MvIQhoH5Hk8Ost5LqM,All Good Things (Come To An End) - Chill House Version,"Feb 11, 2026",46,22389,13800,122,0.88,2238,—,252,S4A Internal API + Page,2026-03-29T08:01:57.547275
spotify:track:0ZMoGXMXLDp3Cn4W8j7h8g,Falling Down - Techno Version,"Mar 6, 2026",23,37175,25765,260,1.01,6300,—,212,S4A Internal API + Page,2026-03-29T08:02:05.081336
spotify:track:21Nl4tNwz5limQSOJNHcoV,Don't Be so Shy - Chill House Version,"Feb 27, 2026",30,108238,67389,1412,2.10,64454,—,782,S4A Internal API + Page,2026-03-29T08:02:13.637302
spotify:track:45LgbHqw8nMnEuDjUnSo3m,Another Love - Deep House Version,"Feb 27, 2026",30,42268,26433,517,1.96,6632,—,364,S4A Internal API + Page,2026-03-29T08:02:21.339580
spotify:track:13ItOfnv24n53zQZMLlkut,Supergirl - Chill House Version,"Feb 11, 2026",46,30658,18588,200,1.08,3895,—,258,S4A Internal API + Page,2026-03-29T08:02:29.265994
spotify:track:1zkqwodU8ybY8j7FNWwRK8,Blinding Lights - Deep House Version,"Feb 13, 2026",44,43692,25767,496,1.92,4758,—,447,S4A Internal API + Page,2026-03-29T08:02:37.159795
spotify:track:3ze8pFitQuagQD6Ax7GV7y,15 MINUTES - Techno Version,"Jan 19, 2026",69,37668,22428,243,1.08,6535,—,388,S4A Internal API + Page,2026-03-29T08:02:45.667600
spotify:track:1d72fPMqKuiVQlm9c96FGT,Right Here Waiting - Chill House Version,"Feb 11, 2026",46,23603,15063,198,1.31,4256,—,255,S4A Internal API + Page,2026-03-29T08:02:54.065633
spotify:track:2GOK7XJh8G7CB6fQAV13wI,Take You Dancing - Chill House Version,"Mar 20, 2026",9,11263,8072,69,0.85,2284,—,85,S4A Internal API + Page,2026-03-29T08:03:01.410017
spotify:track:7eXBD5LtTWgknRgeZBkAXS,Say It Right - Chill House Version,"Feb 13, 2026",44,42078,23861,395,1.66,2833,—,381,S4A Internal API + Page,2026-03-29T08:03:09.324798
spotify:track:2boeMqxAsGyOEwAoH4LiHl,Just Dance,"Jan 19, 2026",69,52744,32676,331,1.01,15135,—,565,S4A Internal API + Page,2026-03-29T08:03:17.004320
spotify:track:5by46uN21kmrOvkUEpGjic,Falling Down - Chill House Version,"Jan 23, 2026",65,15539,9894,75,0.76,188,—,258,S4A Internal API + Page,2026-03-29T08:03:24.899907
spotify:track:4IAA9flxpl8tUbNDPJFzor,Sweet Nothing - Deep House Version,"Mar 13, 2026",16,83815,58856,1064,1.81,48319,—,544,S4A Internal API + Page,2026-03-29T08:03:32.634524
spotify:track:2qodwXaBZ4tOSvXaZp9oDy,The Fate of Ophelia - Deep House Version,"Feb 1, 2026",56,52725,29051,619,2.13,967,—,687,S4A Internal API + Page,2026-03-29T08:03:48.388086
